physician_providercode,physiciancode,providercode,physicianname,specialization,total_unique_patient_cnt,total_claim_count,all_claims_sum_of_util,ave_12_month_util_per_patient,opl_unique_px_cnt_at_least_one,opl_unique_px_count_at_least_one_pct,opl_ave_claims_per_px_at_least_one,opl_total_claims,opl_ave_cost_per_claim_per_px_at_least_one,opl_sum_of_util,opl_ave_twelve_month_util_per_px,inp_unique_px_count_at_least_one,inp_unique_px_count_at_least_one_pct,inp_ave_claims_per_px_at_least_one,inp_total_claims,inp_ave_cost_per_claim_per_px_at_least_one,inp_sum_of_util,inp_ave_twelve_month_util_per_px,others_unique_px_count_at_least_one,others_unique_px_count_at_least_one_pct,others_ave_claims_per_px_at_least_one,others_total_claims,others_ave_cost_per_claim_per_px_at_least_one,others_sum_of_util,others_ave_twelve_month_util_per_px,total_philhealth,ave_philhealth_claim
90029964 - CHINESE GENERAL HOSPITAL & MEDICAL CENTER,90029964,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,KATHERINE ANN NG TAN,Cardiology,8,40,434188.84,54273.61,5,0.63,3.2,16,10503.38,168054.05,21006.76,2,0.25,2,4,62996.2,251984.79,31498.1,7,0.88,2.86,20,707.5,14150,1768.75,72210,9026.25
90025566 - THE MEDICAL CITY,90025566,THE MEDICAL CITY,CARL DOMINIC PANCHO TOLENTINO,Cardiology,56,387,3037440.75,54240.01,36,0.64,5.17,186,7201.88,1339549.06,23920.52,6,0.11,1.17,7,220145.46,1541018.2,27518.18,55,0.98,3.53,194,808.63,156873.49,2801.31,135183.29,2413.99
90014953 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90014953,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,ANTHONY NATINO LONTOC,Interventional Cardiology,39,247,2104991.38,53974.14,32,0.82,3.69,118,12461.21,1470422.85,37703.15,4,0.1,1,4,100132.72,400530.89,10270.02,32,0.82,3.91,125,1872.3,234037.64,6000.97,81134,2080.36
90005743 - ST. LUKE'S MEDICAL CENTER-QC,90005743,ST. LUKE'S MEDICAL CENTER-QC,FERDINAND VILORIA ALZATE,Nephrology,35,237,1879451.73,53698.62,21,0.6,5.05,106,11200.38,1187240.55,33921.16,5,0.14,1,5,95303.96,476519.82,13614.85,32,0.91,3.94,126,1711.84,215691.36,6162.61,84955,2427.29
90004450 - ST. LUKE'S MEDICAL CENTER-QC,90004450,ST. LUKE'S MEDICAL CENTER-QC,MYRA ABUYABOR CANLAS,Nephrology,31,151,1640166.57,52908.6,23,0.74,3.3,76,7999.07,607929.63,19610.63,5,0.16,1.4,7,134017.34,938121.38,30261.98,28,0.9,2.43,68,1384.05,94115.56,3035.99,86800,2800
4435 - CHINESE GENERAL HOSPITAL & MEDICAL CENTER,4435,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,GRACE GAW,Gastroenterology,7,22,369952.62,52850.37,3,0.43,1,3,75227.66,225682.98,32240.43,2,0.29,1,2,64739.32,129478.64,18496.95,7,1,2.43,17,870.06,14791,2113,88570,12652.86
90013686 - CARDINAL SANTOS MEDICAL CENTER,90013686,CARDINAL SANTOS MEDICAL CENTER,FEDERICK CO CHENG,Interventional Cardiology,26,125,1373365.66,52821.76,22,0.85,3.73,82,7698.13,631246.48,24278.71,2,0.08,1,2,331664.5,663329,25512.65,19,0.73,2.16,41,1921.71,78790.18,3030.39,101670,3910.38
90004450 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90004450,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,MYRA ABUYABOR CANLAS,Nephrology,40,255,2107148.7,52678.72,36,0.9,3.33,120,11001.27,1320152.88,33003.82,6,0.15,1,6,105839.9,635039.41,15875.99,38,0.95,3.39,129,1177.96,151956.41,3798.91,120725,3018.13
90003151 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90003151,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,ALVIN CHE LIM,Cardiology,20,100,1048570.61,52428.53,18,0.9,3,54,12869.95,694977.09,34748.85,2,0.1,1,2,162556.76,325113.52,16255.68,16,0.8,2.75,44,647.27,28480,1424,81580,4079
28973 - ASIAN HOSPITAL AND MEDICAL CENTER,28973,ASIAN HOSPITAL AND MEDICAL CENTER,JOEL ABAD DELA ROSA,Cardiology,22,138,1153233.83,52419.72,19,0.86,4.42,84,8654.71,726995.35,33045.24,3,0.14,1,3,90026.53,270079.6,12276.35,18,0.82,2.83,51,3061.94,156158.88,7098.13,92161,4189.14
32482 - THE MEDICAL CITY,32482,THE MEDICAL CITY,ERIC SANDICO PASCUAL,Cardiology,55,407,2848393.84,51788.98,37,0.67,5.51,204,6818.82,1391039.98,25291.64,5,0.09,1.6,8,156821.15,1254569.21,22810.35,52,0.95,3.75,195,1039.92,202784.65,3686.99,213735,3886.09
30462 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,30462,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,JOSE MARIA L. ANSON,Nephrology,10,58,514302.25,51430.23,6,0.6,4,24,8109.47,194627.2,19462.72,2,0.2,1,2,144130.13,288260.25,28826.03,10,1,3.2,32,981.71,31414.8,3141.48,19080,1908
20741 - THE MEDICAL CITY,20741,THE MEDICAL CITY,MARY QUEEN VILLEGAS FLORENCIO,Endocrinology,13,127,666353.85,51257.99,11,0.85,7,77,4945.3,380788.3,29291.41,2,0.15,1,2,129810.78,259621.55,19970.89,12,0.92,4,48,540.5,25944,1995.69,42250,3250
90018644 - ASIAN HOSPITAL AND MEDICAL CENTER,90018644,ASIAN HOSPITAL AND MEDICAL CENTER,NOEL AMORANTO LAPUS,Interventional Cardiology,74,365,3780784.53,51091.68,49,0.66,3.9,191,12127.17,2316289.71,31301.21,9,0.12,1,9,142621.94,1283597.49,17345.91,64,0.86,2.58,165,1096.35,180897.33,2444.56,342190,4624.19
90019889 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90019889,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,ALEJANDRO RAMON RUFINO PRIETO JR.,Cardiology,15,60,754631.73,50308.78,12,0.8,3.25,39,16654.8,649537.11,43302.47,1,0.07,1,1,81921.62,81921.62,5461.44,10,0.67,2,20,1158.65,23173,1544.87,24960,1664
16361 - ASIAN HOSPITAL AND MEDICAL CENTER,16361,ASIAN HOSPITAL AND MEDICAL CENTER,ALVIN PADUA QUINO,Internal Medicine,13,71,652581.67,50198.59,13,1,2.92,38,13061.76,496346.8,38180.52,1,0.08,1,1,120760.82,120760.82,9289.29,12,0.92,2.67,32,1108.56,35474.05,2728.77,84580,6506.15
90023962 - ST. LUKE'S MEDICAL CENTER-QC,90023962,ST. LUKE'S MEDICAL CENTER-QC,LEA ARCELI GONZALES PORCIUNCULA,Cardiology,28,176,1403946.31,50140.94,22,0.79,3.68,81,8646.08,700332.29,25011.87,7,0.25,1,7,93583.15,655082.02,23395.79,28,1,3.14,88,551.5,48532,1733.29,120275,4295.54
90009356 - DILIMAN DOCTORS HOSPITAL INC.,90009356,DILIMAN DOCTORS HOSPITAL INC.,KRISTIANNE EMMANUELLE RAYO BAGAOISAN,Internal Medicine,17,143,838423.87,49319.05,13,0.77,4.69,61,8671.69,528973.08,31116.06,2,0.12,1,2,114661.76,229323.52,13489.62,17,1,4.71,80,1001.59,80127.27,4713.37,35680,2098.82
36922 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,36922,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,JOANNA TERESA MARGARITA LICLICAN MANALO,Cardiology,23,95,1128501.66,49065.29,23,1,3.04,70,14574.09,1020186.27,44355.92,1,0.04,1,1,54999.99,54999.99,2391.3,9,0.39,2.67,24,2221.48,53315.4,2318.06,65330,2840.43
1469 - MAKATI MEDICAL CENTER,1469,MAKATI MEDICAL CENTER,ANGELITA MIGUEL AGUIRRE,Nephrology,17,115,832023.47,48942.56,13,0.77,3.08,40,9094.37,363774.78,21398.52,2,0.12,1,2,165244.33,330488.65,19440.51,16,0.94,4.56,73,1887.12,137760.04,8103.53,44200,2600
2964 - MAKATI MEDICAL CENTER,2964,MAKATI MEDICAL CENTER,GREGORIO S. MARTINEZ JR.,Interventional Cardiology,7,39,341726.4,48818.06,7,1,4,28,10782.77,301917.6,43131.09,0,0,0,0,0,0,0,4,0.57,2.75,11,3618.98,39808.8,5686.97,7400,1057.14
90023181 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90023181,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,ANDRE LAWRENCE GONZALES TOJINO,Cardiology,21,152,1005526.15,47882.2,17,0.81,3.94,67,4431.23,296892.19,14137.72,3,0.14,1.67,5,126751.04,633755.19,30178.82,19,0.9,4.21,80,935.98,74878.77,3565.66,113991.5,5428.17
90006544 - ST. LUKE'S MEDICAL CENTER-QC,90006544,ST. LUKE'S MEDICAL CENTER-QC,JONATHAN JAMES GRANADA BERNARDO,Cardiology,8,29,376206.96,47025.87,5,0.63,2.2,11,20962.36,230585.95,28823.24,1,0.13,1,1,116397.44,116397.44,14549.68,7,0.88,2.43,17,1719.03,29223.57,3652.95,12600,1575
7966 - ST. LUKE'S MEDICAL CENTER-QC,7966,ST. LUKE'S MEDICAL CENTER-QC,JOHNNY TORRES SHIA,Cardiology,13,108,602634.08,46356.47,11,0.85,6.09,67,6513.88,436430,33571.54,2,0.15,1,2,66010.84,132021.68,10155.51,11,0.85,3.55,39,876.47,34182.4,2629.42,37520,2886.15
90019472 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90019472,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,JEFFREY MACATANGAY DE JESUS,Interventional Cardiology,100,585,4616117.28,46161.17,81,0.81,3.48,282,9880.71,2786360.66,27863.61,9,0.09,1.22,11,130282.07,1433102.76,14331.03,87,0.87,3.36,292,1358.4,396653.86,3966.54,321625.2,3216.25
7647 - MARIKINA VALLEY MEDICAL CENTER INC.,7647,MARIKINA VALLEY MEDICAL CENTER INC.,MARIETTA M. CRISOSTOMO,Cardiology,12,31,551326.57,45943.88,11,0.92,2.18,24,6879.19,165100.61,13758.38,2,0.17,1,2,191762.98,383525.96,31960.5,3,0.25,1.67,5,540,2700,225,34390,2865.83
90027899 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90027899,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,MARION FRANCES DILIG LAGMAY,Cardiology,51,309,2334110.15,45766.87,44,0.86,3.89,171,12063.78,2062906.18,40449.14,1,0.02,1,1,115877.81,115877.81,2272.11,49,0.96,2.8,137,1133.77,155326.16,3045.61,46970,920.98
90025841 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90025841,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,FRANCIS SOLOMON MOJICA CLARIDADES,Cardiology,39,216,1768719.27,45351.78,28,0.72,3.96,111,12532.72,1391131.42,35670.04,3,0.08,1,3,101607.61,304822.84,7815.97,38,0.97,2.68,102,713.38,72765.01,1865.77,78820,2021.03
90028173 - CHINESE GENERAL HOSPITAL & MEDICAL CENTER,90028173,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,ALLEN REYNES MARQUEZ,Cardiology,26,116,1177628.83,45293.42,12,0.46,3.08,37,5293.72,195867.63,7533.37,8,0.31,1,8,116664.63,933317,35896.81,26,1,2.73,71,682.31,48444.2,1863.24,221355,8513.65
"90024180 - MEDICAL CENTER MANILA, INC.",90024180,"MEDICAL CENTER MANILA, INC.",MARIA JOANNE PAULA AGUILA MANLAPIG RUBIO,Gastroenterology,16,83,721449.01,45090.56,16,1,2.88,46,9698.52,446131.95,27883.25,2,0.13,1,2,109466.14,218932.27,13683.27,14,0.88,2.5,35,1610.99,56384.79,3524.05,63727,3982.94
90009311 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90009311,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,VICTORIA TAURO SHIA,Cardiology,15,88,675555.9,45037.06,11,0.73,4,44,10673.93,469652.85,31310.19,1,0.07,1,1,171843.9,171843.9,11456.26,15,1,2.87,43,792.07,34059.15,2270.61,5500,366.67
90011773 - MAKATI MEDICAL CENTER,90011773,MAKATI MEDICAL CENTER,MICHELLE MORENO MALIWAT,Cardiology,32,218,1439020.48,44969.39,26,0.81,4,104,7637.62,794312.3,24822.26,2,0.06,3,6,87116.9,522701.38,16334.42,32,1,3.38,108,1129.69,122006.8,3812.71,42067,1314.59
90026605 - MAKATI MEDICAL CENTER,90026605,MAKATI MEDICAL CENTER,GRACIELLE MAY CINCO MENDOZA-YU,Pulmonology,11,65,491230.17,44657.29,10,0.91,3.7,37,6491.76,240195.06,21835.91,1,0.09,1,1,226378.5,226378.5,20579.86,9,0.82,3,27,913.21,24656.61,2241.51,24180,2198.18
90026694 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90026694,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,GREGGY AMADOR PANGA,Interventional Cardiology,80,437,3563682.91,44546.04,59,0.74,3.42,202,11362.23,2295171.21,28689.64,7,0.09,1.29,9,106818.5,961366.52,12017.08,77,0.96,2.94,226,1359.05,307145.18,3839.31,122147.5,1526.84
90018688 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90018688,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,GENER ADSUARA IDOR,Internal Medicine,15,79,665195.85,44346.39,8,0.53,3.13,25,3881.37,97034.32,6468.95,2,0.13,1.5,3,173751.13,521253.38,34750.23,15,1,3.4,51,919.77,46908.15,3127.21,29900,1993.33
90014941 - ASIAN HOSPITAL AND MEDICAL CENTER,90014941,ASIAN HOSPITAL AND MEDICAL CENTER,RONA MARIE LONGANILLA LEONOR,Cardiology,48,319,2122459.74,44217.91,37,0.77,2.92,108,10586.42,1143333.78,23819.45,8,0.17,1,8,98738.42,789907.37,16456.4,48,1,4.23,203,932.11,189218.59,3942.05,102815,2141.98
90011747 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90011747,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,CARLO FRANCISCO SANTOS GOCHUICO,Cardiology,36,174,1590892.57,44191.46,28,0.78,3.07,86,9987.46,858921.18,23858.92,1,0.03,1,1,627768.93,627768.93,17438.03,33,0.92,2.64,87,1197.73,104202.46,2894.51,18720,520
90029660 - ASIAN HOSPITAL AND MEDICAL CENTER,90029660,ASIAN HOSPITAL AND MEDICAL CENTER,NIÃ‘A GIZEL MOSQUEDA REYES,Endocrinology,8,50,353315.41,44164.43,7,0.88,3,21,13141.87,275979.23,34497.4,1,0.13,1,1,48535.18,48535.18,6066.9,8,1,3.5,28,1028.61,28801,3600.13,28490,3561.25
"4132 - MEDICAL CENTER MANILA, INC.",4132,"MEDICAL CENTER MANILA, INC.",ELIZABETH ANG UY,Cardiology,13,69,564402.26,43415.56,13,1,3.23,42,10938.51,459417.26,35339.79,1,0.08,1,1,65000,65000,5000,8,0.62,3.25,26,1537.88,39985,3075.77,50380,3875.38
90016949 - MAKATI MEDICAL CENTER,90016949,MAKATI MEDICAL CENTER,ODESSA TOLENTINO WILSON,Cardiology,23,150,989933.3,43040.58,20,0.87,3.8,76,9860.12,749368.8,32581.25,1,0.04,1,1,197000,197000,8565.22,16,0.7,4.56,73,596.77,43564.5,1894.11,37320,1622.61
"90020527 - MEDICAL CENTER MANILA, INC.",90020527,"MEDICAL CENTER MANILA, INC.",NICY FRANCISCO NARVAS,Internal Medicine,12,56,513424.14,42785.35,9,0.75,2,18,9792.26,176260.75,14688.4,2,0.17,1,2,144359.63,288719.25,24059.94,12,1,3,36,1345.67,48444.14,4037.01,42700,3558.33
19651 - ASIAN HOSPITAL AND MEDICAL CENTER,19651,ASIAN HOSPITAL AND MEDICAL CENTER,ARCALUCY M. CABALU,Cardiology,32,150,1367683.07,42740.1,22,0.69,2.86,63,9919.89,624953.24,19529.79,3,0.09,1.33,4,142999.87,571999.46,17874.98,30,0.94,2.77,83,2056.99,170730.37,5335.32,49260,1539.38
90021639 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90021639,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,EDUARDO ONGLEO YAMBAO JR.,Interventional Cardiology,10,40,426284.73,42628.47,8,0.8,2.25,18,19113.1,344035.81,34403.58,0,0,0,0,0,0,0,10,1,2.2,22,3738.59,82248.92,8224.89,22080,2208
90023642 - DILIMAN DOCTORS HOSPITAL INC.,90023642,DILIMAN DOCTORS HOSPITAL INC.,KAREN GAIL ARCANO FLOREN,Internal Medicine,18,122,767184.2,42621.34,13,0.72,4.46,58,7267.02,421486.93,23415.94,3,0.17,1,3,97997.71,293993.14,16332.95,15,0.83,4.07,61,847.61,51704.13,2872.45,534200,29677.78
90005743 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90005743,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,FERDINAND VILORIA ALZATE,Interventional Cardiology,106,595,4512939.14,42574.9,73,0.69,3.16,231,11144.39,2574353.12,24286.35,6,0.06,2.17,13,116685.65,1516913.51,14310.5,101,0.95,3.48,351,1201.35,421672.51,3978.04,134007,1264.22
