physician_providercode,physiciancode,providercode,physicianname,specialization,total_unique_patient_cnt,total_claim_count,all_claims_sum_of_util,ave_12_month_util_per_patient,opl_unique_px_cnt_at_least_one,opl_unique_px_count_at_least_one_pct,opl_ave_claims_per_px_at_least_one,opl_total_claims,opl_ave_cost_per_claim_per_px_at_least_one,opl_sum_of_util,opl_ave_twelve_month_util_per_px,inp_unique_px_count_at_least_one,inp_unique_px_count_at_least_one_pct,inp_ave_claims_per_px_at_least_one,inp_total_claims,inp_ave_cost_per_claim_per_px_at_least_one,inp_sum_of_util,inp_ave_twelve_month_util_per_px,others_unique_px_count_at_least_one,others_unique_px_count_at_least_one_pct,others_ave_claims_per_px_at_least_one,others_total_claims,others_ave_cost_per_claim_per_px_at_least_one,others_sum_of_util,others_ave_twelve_month_util_per_px,total_philhealth,ave_philhealth_claim
90027963 - ST. LUKE'S MEDICAL CENTER-QC,90027963,ST. LUKE'S MEDICAL CENTER-QC,FRANCESCA PAULA TAN BAUTISTA,Endocrinology,10,101,664147.43,66414.74,7.00,0.70,6.57,46.00,5179.90,238275.30,23827.53,2.00,0.20,1.00,2.00,193046.71,386093.41,38609.34,10.00,1.00,5.30,53.00,750.54,39778.72,3977.87,37200.00,3720.00
90011051 - DILIMAN DOCTORS HOSPITAL INC.,90011051,DILIMAN DOCTORS HOSPITAL INC.,MARCO POCA ANTOLIN,Cardiology,16,127,1054780.89,65923.81,12.00,0.75,4.83,58.00,6459.85,374671.28,23416.96,4.00,0.25,1.00,4.00,145656.52,582626.08,36414.13,16.00,1.00,4.06,65.00,1499.75,97483.53,6092.72,79267.00,4954.19
100004 - MAKATI MEDICAL CENTER,100004,MAKATI MEDICAL CENTER,OLIVER M. SANSANO,Cardiology,8,72,524681.22,65585.15,7.00,0.88,5.57,39.00,11224.43,437752.70,54719.09,1.00,0.13,1.00,1.00,63152.02,63152.02,7894.00,8.00,1.00,4.00,32.00,743.02,23776.50,2972.06,44265.00,5533.13
4728 - ASIAN HOSPITAL AND MEDICAL CENTER,4728,ASIAN HOSPITAL AND MEDICAL CENTER,SOTERO CUADRATO CRISOSTOMO JR.,Cardiology,11,85,717528.77,65229.89,8.00,0.73,3.63,29.00,8652.87,250933.27,22812.12,2.00,0.18,1.50,3.00,141484.17,424452.50,38586.59,11.00,1.00,4.82,53.00,795.15,42143.00,3831.18,35020.00,3183.64
90010496 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90010496,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,VISVANATH EREVE ESPALDON,Interventional Cardiology,14,45,890409.98,63600.71,10.00,0.71,2.00,20.00,14146.12,282922.37,20208.74,1.00,0.07,1.00,1.00,592827.61,592827.61,42344.83,13.00,0.93,1.85,24.00,610.83,14660.00,1047.14,28700.00,2050.00
4728 - MAKATI MEDICAL CENTER,4728,MAKATI MEDICAL CENTER,SOTERO CUADRATO CRISOSTOMO JR.,Cardiology,23,112,1454771.28,63250.93,19.00,0.83,2.58,49.00,11702.58,573426.53,24931.59,3.00,0.13,1.33,4.00,208507.56,834030.25,36262.18,20.00,0.87,2.95,59.00,801.94,47314.50,2057.15,84970.00,3694.35
90023558 - ASIAN HOSPITAL AND MEDICAL CENTER,90023558,ASIAN HOSPITAL AND MEDICAL CENTER,GIAN CARLO ALVERO CARPIO,Gastroenterology,12,77,729880.39,60823.37,11.00,0.92,3.64,40.00,17563.26,702530.29,58544.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,1.00,3.08,37.00,739.19,27350.10,2279.18,102560.00,8546.67
90012767 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90012767,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,CLARA SY TOLENTINO,Cardiology,13,72,787901.08,60607.78,12.00,0.92,2.75,33.00,14745.42,486598.92,37430.69,2.00,0.15,1.00,2.00,134782.24,269564.48,20735.73,10.00,0.77,3.70,37.00,857.78,31737.68,2441.36,42970.00,3305.38
25201 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,25201,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,JONNAH FATIMA BALTASAR PELAT,Cardiology,24,116,1429499.83,59562.49,14.00,0.58,4.29,60.00,10150.46,609027.73,25376.16,3.00,0.13,1.00,3.00,259096.53,777289.60,32387.07,22.00,0.92,2.41,53.00,814.76,43182.50,1799.27,58105.00,2421.04
90007164 - CARDINAL SANTOS MEDICAL CENTER,90007164,CARDINAL SANTOS MEDICAL CENTER,ARIEL ANGELES MIRANDA,Interventional Cardiology,24,127,1417582.96,59065.96,21.00,0.88,4.38,92.00,7491.76,689241.99,28718.42,1.00,0.04,2.00,2.00,354720.49,709440.97,29560.04,15.00,0.63,2.20,33.00,572.73,18900.00,787.50,43570.00,1815.42
35392 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,35392,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,ARSENIO C. CABURNAY,Cardiology,17,109,989386.43,58199.20,15.00,0.88,4.13,62.00,13942.47,864432.89,50848.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.82,3.36,47.00,2658.59,124953.54,7350.21,61250.00,3602.94
90009305 - CHINESE GENERAL HOSPITAL & MEDICAL CENTER,90009305,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,CRISTINA CHUA CHUA,Nephrology,8,75,457312.14,57164.02,8.00,1.00,3.50,28.00,3699.16,103576.60,12947.08,4.00,0.50,1.25,5.00,66102.71,330513.54,41314.19,7.00,0.88,6.00,42.00,552.90,23222.00,2902.75,79680.00,9960.00
90027797 - MAKATI MEDICAL CENTER,90027797,MAKATI MEDICAL CENTER,ROSARIO SOLEDAD CABRERA NERI,Cardiology,24,135,1365801.82,56908.41,20.00,0.83,3.35,67.00,9522.65,638017.40,26584.06,5.00,0.21,1.20,6.00,111473.36,668840.16,27868.34,22.00,0.92,2.82,62.00,950.71,58944.26,2456.01,123640.00,5151.67
90025466 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90025466,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,SAHRA MAY OCAMPO PARAGAS,Endocrinology,8,31,447567.60,55945.95,6.00,0.75,2.17,13.00,11809.54,153524.00,19190.50,1.00,0.13,1.00,1.00,257906.10,257906.10,32238.26,6.00,0.75,2.83,17.00,2125.74,36137.50,4517.19,16400.00,2050.00
15401 - MAKATI MEDICAL CENTER,15401,MAKATI MEDICAL CENTER,FILOTEO C. FERRER,Nephrology,14,144,778618.94,55615.64,13.00,0.93,4.54,59.00,6681.03,394180.54,28155.75,3.00,0.21,1.00,3.00,108722.57,326167.70,23297.69,13.00,0.93,6.31,82.00,710.62,58270.70,4162.19,42640.00,3045.71
90030010 - CARDINAL SANTOS MEDICAL CENTER,90030010,CARDINAL SANTOS MEDICAL CENTER,AIRA BUENAVENTURA BERINGUEL,Cardiology,19,101,1046901.82,55100.10,11.00,0.58,3.82,42.00,13521.87,567918.41,29890.44,3.00,0.16,1.00,3.00,139387.96,418163.89,22008.63,18.00,0.95,3.11,56.00,1086.06,60819.52,3201.03,61740.00,3249.47
90023839 - ST. LUKE'S MEDICAL CENTER-QC,90023839,ST. LUKE'S MEDICAL CENTER-QC,JOSE BERNARDO AQUINO CALATRAVA,Cardiology,44,319,2415623.19,54900.53,37.00,0.84,4.54,168.00,10833.02,1819947.74,41362.45,4.00,0.09,1.00,4.00,104784.40,419137.58,9525.85,42.00,0.95,3.50,147.00,1200.94,176537.87,4012.22,89855.00,2042.16
90029964 - CHINESE GENERAL HOSPITAL & MEDICAL CENTER,90029964,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,KATHERINE ANN NG TAN,Cardiology,8,40,434188.84,54273.61,5.00,0.63,3.20,16.00,10503.38,168054.05,21006.76,2.00,0.25,2.00,4.00,62996.20,251984.79,31498.10,7.00,0.88,2.86,20.00,707.50,14150.00,1768.75,72210.00,9026.25
90025566 - THE MEDICAL CITY,90025566,THE MEDICAL CITY,CARL DOMINIC PANCHO TOLENTINO,Cardiology,56,387,3037440.75,54240.01,36.00,0.64,5.17,186.00,7201.88,1339549.06,23920.52,6.00,0.11,1.17,7.00,220145.46,1541018.20,27518.18,55.00,0.98,3.53,194.00,808.63,156873.49,2801.31,135183.29,2413.99
90014953 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90014953,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,ANTHONY NATINO LONTOC,Interventional Cardiology,39,247,2104991.38,53974.14,32.00,0.82,3.69,118.00,12461.21,1470422.85,37703.15,4.00,0.10,1.00,4.00,100132.72,400530.89,10270.02,32.00,0.82,3.91,125.00,1872.30,234037.64,6000.97,81134.00,2080.36
90005743 - ST. LUKE'S MEDICAL CENTER-QC,90005743,ST. LUKE'S MEDICAL CENTER-QC,FERDINAND VILORIA ALZATE,Nephrology,35,237,1879451.73,53698.62,21.00,0.60,5.05,106.00,11200.38,1187240.55,33921.16,5.00,0.14,1.00,5.00,95303.96,476519.82,13614.85,32.00,0.91,3.94,126.00,1711.84,215691.36,6162.61,84955.00,2427.29
90004450 - ST. LUKE'S MEDICAL CENTER-QC,90004450,ST. LUKE'S MEDICAL CENTER-QC,MYRA ABUYABOR CANLAS,Nephrology,31,151,1640166.57,52908.60,23.00,0.74,3.30,76.00,7999.07,607929.63,19610.63,5.00,0.16,1.40,7.00,134017.34,938121.38,30261.98,28.00,0.90,2.43,68.00,1384.05,94115.56,3035.99,86800.00,2800.00
4435 - CHINESE GENERAL HOSPITAL & MEDICAL CENTER,4435,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,GRACE GAW,Gastroenterology,7,22,369952.62,52850.37,3.00,0.43,1.00,3.00,75227.66,225682.98,32240.43,2.00,0.29,1.00,2.00,64739.32,129478.64,18496.95,7.00,1.00,2.43,17.00,870.06,14791.00,2113.00,88570.00,12652.86
90013686 - CARDINAL SANTOS MEDICAL CENTER,90013686,CARDINAL SANTOS MEDICAL CENTER,FEDERICK CO CHENG,Interventional Cardiology,26,125,1373365.66,52821.76,22.00,0.85,3.73,82.00,7698.13,631246.48,24278.71,2.00,0.08,1.00,2.00,331664.50,663329.00,25512.65,19.00,0.73,2.16,41.00,1921.71,78790.18,3030.39,101670.00,3910.38
90004450 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90004450,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,MYRA ABUYABOR CANLAS,Nephrology,40,255,2107148.70,52678.72,36.00,0.90,3.33,120.00,11001.27,1320152.88,33003.82,6.00,0.15,1.00,6.00,105839.90,635039.41,15875.99,38.00,0.95,3.39,129.00,1177.96,151956.41,3798.91,120725.00,3018.13
90003151 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90003151,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,ALVIN CHE LIM,Cardiology,20,100,1048570.61,52428.53,18.00,0.90,3.00,54.00,12869.95,694977.09,34748.85,2.00,0.10,1.00,2.00,162556.76,325113.52,16255.68,16.00,0.80,2.75,44.00,647.27,28480.00,1424.00,81580.00,4079.00
28973 - ASIAN HOSPITAL AND MEDICAL CENTER,28973,ASIAN HOSPITAL AND MEDICAL CENTER,JOEL ABAD DELA ROSA,Cardiology,22,138,1153233.83,52419.72,19.00,0.86,4.42,84.00,8654.71,726995.35,33045.24,3.00,0.14,1.00,3.00,90026.53,270079.60,12276.35,18.00,0.82,2.83,51.00,3061.94,156158.88,7098.13,92161.00,4189.14
32482 - THE MEDICAL CITY,32482,THE MEDICAL CITY,ERIC SANDICO PASCUAL,Cardiology,55,407,2848393.84,51788.98,37.00,0.67,5.51,204.00,6818.82,1391039.98,25291.64,5.00,0.09,1.60,8.00,156821.15,1254569.21,22810.35,52.00,0.95,3.75,195.00,1039.92,202784.65,3686.99,213735.00,3886.09
30462 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,30462,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,JOSE MARIA L. ANSON,Nephrology,10,58,514302.25,51430.23,6.00,0.60,4.00,24.00,8109.47,194627.20,19462.72,2.00,0.20,1.00,2.00,144130.13,288260.25,28826.03,10.00,1.00,3.20,32.00,981.71,31414.80,3141.48,19080.00,1908.00
20741 - THE MEDICAL CITY,20741,THE MEDICAL CITY,MARY QUEEN VILLEGAS FLORENCIO,Endocrinology,13,127,666353.85,51257.99,11.00,0.85,7.00,77.00,4945.30,380788.30,29291.41,2.00,0.15,1.00,2.00,129810.78,259621.55,19970.89,12.00,0.92,4.00,48.00,540.50,25944.00,1995.69,42250.00,3250.00
90018644 - ASIAN HOSPITAL AND MEDICAL CENTER,90018644,ASIAN HOSPITAL AND MEDICAL CENTER,NOEL AMORANTO LAPUS,Interventional Cardiology,74,365,3780784.53,51091.68,49.00,0.66,3.90,191.00,12127.17,2316289.71,31301.21,9.00,0.12,1.00,9.00,142621.94,1283597.49,17345.91,64.00,0.86,2.58,165.00,1096.35,180897.33,2444.56,342190.00,4624.19
90019889 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90019889,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,ALEJANDRO RAMON RUFINO PRIETO JR.,Cardiology,15,60,754631.73,50308.78,12.00,0.80,3.25,39.00,16654.80,649537.11,43302.47,1.00,0.07,1.00,1.00,81921.62,81921.62,5461.44,10.00,0.67,2.00,20.00,1158.65,23173.00,1544.87,24960.00,1664.00
16361 - ASIAN HOSPITAL AND MEDICAL CENTER,16361,ASIAN HOSPITAL AND MEDICAL CENTER,ALVIN PADUA QUINO,Internal Medicine,13,71,652581.67,50198.59,13.00,1.00,2.92,38.00,13061.76,496346.80,38180.52,1.00,0.08,1.00,1.00,120760.82,120760.82,9289.29,12.00,0.92,2.67,32.00,1108.56,35474.05,2728.77,84580.00,6506.15
90023962 - ST. LUKE'S MEDICAL CENTER-QC,90023962,ST. LUKE'S MEDICAL CENTER-QC,LEA ARCELI GONZALES PORCIUNCULA,Cardiology,28,176,1403946.31,50140.94,22.00,0.79,3.68,81.00,8646.08,700332.29,25011.87,7.00,0.25,1.00,7.00,93583.15,655082.02,23395.79,28.00,1.00,3.14,88.00,551.50,48532.00,1733.29,120275.00,4295.54
90009356 - DILIMAN DOCTORS HOSPITAL INC.,90009356,DILIMAN DOCTORS HOSPITAL INC.,KRISTIANNE EMMANUELLE RAYO BAGAOISAN,Internal Medicine,17,143,838423.87,49319.05,13.00,0.77,4.69,61.00,8671.69,528973.08,31116.06,2.00,0.12,1.00,2.00,114661.76,229323.52,13489.62,17.00,1.00,4.71,80.00,1001.59,80127.27,4713.37,35680.00,2098.82
36922 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,36922,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,JOANNA TERESA MARGARITA LICLICAN MANALO,Cardiology,23,95,1128501.66,49065.29,23.00,1.00,3.04,70.00,14574.09,1020186.27,44355.92,1.00,0.04,1.00,1.00,54999.99,54999.99,2391.30,9.00,0.39,2.67,24.00,2221.48,53315.40,2318.06,65330.00,2840.43
1469 - MAKATI MEDICAL CENTER,1469,MAKATI MEDICAL CENTER,ANGELITA MIGUEL AGUIRRE,Nephrology,17,115,832023.47,48942.56,13.00,0.77,3.08,40.00,9094.37,363774.78,21398.52,2.00,0.12,1.00,2.00,165244.33,330488.65,19440.51,16.00,0.94,4.56,73.00,1887.12,137760.04,8103.53,44200.00,2600.00
2964 - MAKATI MEDICAL CENTER,2964,MAKATI MEDICAL CENTER,GREGORIO S. MARTINEZ JR.,Interventional Cardiology,7,39,341726.40,48818.06,7.00,1.00,4.00,28.00,10782.77,301917.60,43131.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.57,2.75,11.00,3618.98,39808.80,5686.97,7400.00,1057.14
90023181 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90023181,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,ANDRE LAWRENCE GONZALES TOJINO,Cardiology,21,152,1005526.15,47882.20,17.00,0.81,3.94,67.00,4431.23,296892.19,14137.72,3.00,0.14,1.67,5.00,126751.04,633755.19,30178.82,19.00,0.90,4.21,80.00,935.98,74878.77,3565.66,113991.50,5428.17
90006544 - ST. LUKE'S MEDICAL CENTER-QC,90006544,ST. LUKE'S MEDICAL CENTER-QC,JONATHAN JAMES GRANADA BERNARDO,Cardiology,8,29,376206.96,47025.87,5.00,0.63,2.20,11.00,20962.36,230585.95,28823.24,1.00,0.13,1.00,1.00,116397.44,116397.44,14549.68,7.00,0.88,2.43,17.00,1719.03,29223.57,3652.95,12600.00,1575.00
7966 - ST. LUKE'S MEDICAL CENTER-QC,7966,ST. LUKE'S MEDICAL CENTER-QC,JOHNNY TORRES SHIA,Cardiology,13,108,602634.08,46356.47,11.00,0.85,6.09,67.00,6513.88,436430.00,33571.54,2.00,0.15,1.00,2.00,66010.84,132021.68,10155.51,11.00,0.85,3.55,39.00,876.47,34182.40,2629.42,37520.00,2886.15
90019472 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90019472,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,JEFFREY MACATANGAY DE JESUS,Interventional Cardiology,100,585,4616117.28,46161.17,81.00,0.81,3.48,282.00,9880.71,2786360.66,27863.61,9.00,0.09,1.22,11.00,130282.07,1433102.76,14331.03,87.00,0.87,3.36,292.00,1358.40,396653.86,3966.54,321625.20,3216.25
7647 - MARIKINA VALLEY MEDICAL CENTER INC.,7647,MARIKINA VALLEY MEDICAL CENTER INC.,MARIETTA M. CRISOSTOMO,Cardiology,12,31,551326.57,45943.88,11.00,0.92,2.18,24.00,6879.19,165100.61,13758.38,2.00,0.17,1.00,2.00,191762.98,383525.96,31960.50,3.00,0.25,1.67,5.00,540.00,2700.00,225.00,34390.00,2865.83
90027899 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90027899,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,MARION FRANCES DILIG LAGMAY,Cardiology,51,309,2334110.15,45766.87,44.00,0.86,3.89,171.00,12063.78,2062906.18,40449.14,1.00,0.02,1.00,1.00,115877.81,115877.81,2272.11,49.00,0.96,2.80,137.00,1133.77,155326.16,3045.61,46970.00,920.98
90025841 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90025841,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,FRANCIS SOLOMON MOJICA CLARIDADES,Cardiology,39,216,1768719.27,45351.78,28.00,0.72,3.96,111.00,12532.72,1391131.42,35670.04,3.00,0.08,1.00,3.00,101607.61,304822.84,7815.97,38.00,0.97,2.68,102.00,713.38,72765.01,1865.77,78820.00,2021.03
90028173 - CHINESE GENERAL HOSPITAL & MEDICAL CENTER,90028173,CHINESE GENERAL HOSPITAL & MEDICAL CENTER,ALLEN REYNES MARQUEZ,Cardiology,26,116,1177628.83,45293.42,12.00,0.46,3.08,37.00,5293.72,195867.63,7533.37,8.00,0.31,1.00,8.00,116664.63,933317.00,35896.81,26.00,1.00,2.73,71.00,682.31,48444.20,1863.24,221355.00,8513.65
"90024180 - MEDICAL CENTER MANILA, INC.",90024180,"MEDICAL CENTER MANILA, INC.",MARIA JOANNE PAULA AGUILA MANLAPIG RUBIO,Gastroenterology,16,83,721449.01,45090.56,16.00,1.00,2.88,46.00,9698.52,446131.95,27883.25,2.00,0.13,1.00,2.00,109466.14,218932.27,13683.27,14.00,0.88,2.50,35.00,1610.99,56384.79,3524.05,63727.00,3982.94
90009311 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90009311,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,VICTORIA TAURO SHIA,Cardiology,15,88,675555.90,45037.06,11.00,0.73,4.00,44.00,10673.93,469652.85,31310.19,1.00,0.07,1.00,1.00,171843.90,171843.90,11456.26,15.00,1.00,2.87,43.00,792.07,34059.15,2270.61,5500.00,366.67
90011773 - MAKATI MEDICAL CENTER,90011773,MAKATI MEDICAL CENTER,MICHELLE MORENO MALIWAT,Cardiology,32,218,1439020.48,44969.39,26.00,0.81,4.00,104.00,7637.62,794312.30,24822.26,2.00,0.06,3.00,6.00,87116.90,522701.38,16334.42,32.00,1.00,3.38,108.00,1129.69,122006.80,3812.71,42067.00,1314.59
90026605 - MAKATI MEDICAL CENTER,90026605,MAKATI MEDICAL CENTER,GRACIELLE MAY CINCO MENDOZA-YU,Pulmonology,11,65,491230.17,44657.29,10.00,0.91,3.70,37.00,6491.76,240195.06,21835.91,1.00,0.09,1.00,1.00,226378.50,226378.50,20579.86,9.00,0.82,3.00,27.00,913.21,24656.61,2241.51,24180.00,2198.18
90026694 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90026694,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,GREGGY AMADOR PANGA,Interventional Cardiology,80,437,3563682.91,44546.04,59.00,0.74,3.42,202.00,11362.23,2295171.21,28689.64,7.00,0.09,1.29,9.00,106818.50,961366.52,12017.08,77.00,0.96,2.94,226.00,1359.05,307145.18,3839.31,122147.50,1526.84
90018688 - UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,90018688,UNIVERSITY OF PERPETUAL HELP DALTA MEDICAL CENTER INC,GENER ADSUARA IDOR,Internal Medicine,15,79,665195.85,44346.39,8.00,0.53,3.13,25.00,3881.37,97034.32,6468.95,2.00,0.13,1.50,3.00,173751.13,521253.38,34750.23,15.00,1.00,3.40,51.00,919.77,46908.15,3127.21,29900.00,1993.33
90014941 - ASIAN HOSPITAL AND MEDICAL CENTER,90014941,ASIAN HOSPITAL AND MEDICAL CENTER,RONA MARIE LONGANILLA LEONOR,Cardiology,48,319,2122459.74,44217.91,37.00,0.77,2.92,108.00,10586.42,1143333.78,23819.45,8.00,0.17,1.00,8.00,98738.42,789907.37,16456.40,48.00,1.00,4.23,203.00,932.11,189218.59,3942.05,102815.00,2141.98
90011747 - ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,90011747,ST. LUKE'S MEDICAL CENTER-GLOBAL CITY,CARLO FRANCISCO SANTOS GOCHUICO,Cardiology,36,174,1590892.57,44191.46,28.00,0.78,3.07,86.00,9987.46,858921.18,23858.92,1.00,0.03,1.00,1.00,627768.93,627768.93,17438.03,33.00,0.92,2.64,87.00,1197.73,104202.46,2894.51,18720.00,520.00
90029660 - ASIAN HOSPITAL AND MEDICAL CENTER,90029660,ASIAN HOSPITAL AND MEDICAL CENTER,NIÃ‘A GIZEL MOSQUEDA REYES,Endocrinology,8,50,353315.41,44164.43,7.00,0.88,3.00,21.00,13141.87,275979.23,34497.40,1.00,0.13,1.00,1.00,48535.18,48535.18,6066.90,8.00,1.00,3.50,28.00,1028.61,28801.00,3600.13,28490.00,3561.25
