"cptcode","cptdesc"
A-MYO016,STRESS EXERCISE SESTAMIBI MYOCARDIAL PERFUSION IMAGING
A-MYO0161,SESTAMIBI MYOCARDIAL PERFUSION IMAGING
A-MYO018,CARDIAC PACKAGE + 2D ECHO
A-MYO028,EMG NCV OF ALL EXTREMITIES
A-NUC0015,WHOLE BODY SCAN - IODINE
A-NUC009,DIPYRIDAMOLE MPI REST AND STRESS
A-NUC018,DIPYRIDAMOLE MPI (SESTAMIBI)
A-PT003,SLEEP STUDY THERAPEUTIC
A-PUL007,SPIROMETRY WITH POST BRONCHODILATOR EXAM
A-PUL012,PULMONARY FUNCTION TESTS COMPLETE WITH POST BRONCHODILATOR STUDY
A-RAD0015,XRAY-ABDOMEN SPINE UPRIGHT
A-RAD0042,XRAY-LUMBOSACRAL SERIES
A-RAD007,BONE MINERAL DENSITY HIP AND SPINE
A-RAD0078,BONE MINERAL DENSITOMETRY
A-RAD0095,X RAY SHOULDER AP/Y
A-RAD0127,XRAY-STANDING LUMBOSACRAL SPINE APL WITH  FULL LATERAL FLEXION AND EXTENSION VIEW
A-RAD01278,XRAY:- LUMBOSACRAL SPINE AP/L WITH LATERAL FLEXION AND EXTENSION VIEW
A-RAD0135,XRAY- CHEST PA APICO LORDOTIC VIEW
A-RAD0153,TREADMILL STRESS TEST (BRUCE PROTOCOL)
A-RAD0210,XRAY-CERVICAL APOL
A-RAD0254,XRAY CHEST PAL UPRIGHT
A-RAD11231,STRESS ECHO BRUCE
A-RAD547800,XRAY THORACO LUMBOSACRAL  SPINE AP
A-SP003,SLEEP STUDY
A-SP004,SCLEROTHERAPY
A-SP007,DIAGNOSTIC SLEEP STUDY 4
A-SP008,SLEEP STUDIES (SPLIT NIGHT) ALICE 5
A-SP010,PARKINSONS DISEASE PROFILE
A-SP01038,SLEEP STUDY DIAGNOSTIC
A-SP010511,SLEEP DIAGNOSTIC TEST
A-SP0111546,SLEEP STUDIES (SPLIT TEST)
A-UZ002,ULTRASOUND - VENOUS DUPLEX SCAN BOTH LOWER EXTREMITIES
A-UZ013,NECK ULTRASOUND WITH COLOR FLOW DOPPLER
A-UZ014,ULTRASOUND-PERIPHERAL DUPLEX SCAN LOWER ARTERIAL AND VENOUS DUPLEX EXTREMETIES
A-UZ027,ULTRASOUND-WHOLE ABDOMINAL RIGHT LOWER QUADRANT
A-UZ030,ULTRASOUND-WHOLE ABDOMINAL
A-UZ044,ULTRASOUND-FNAB GUIDED BIOPSY OF THYROID
A-UZ054,ULTRASOUND-UPPER ABDOMEN
A-UZ087,CT-SCAN WHOLE ABDOMEN WITH IV CONTRAST - STAT
A-UZ089,ULTRASOUND-TRANSVAGINAL WITH DOPPLER
A-UZ098,ULTRASOUND RENAL VASCULAR DUPLEX SCAN
A-UZ1014,CHEST UTZ W/ QUANTIFY FLUID
A-UZ104,ULTRASOUND LIVER FIBROSIS SCORING
A-UZ116,"ULTRASOUND-LIVER, GALLBLADDER, HEPATO BILIARY TREE AND PANCREAS"
A-UZ127,ULTRASOUND-CERVICAL NECK
A-UZ15411,"ULTRASOUND LIVER, GALLBLADDER PANCREAS"
A-UZ165,VENOUS DUPLEX SCAN WITH ABI
AU004,DIX HALLPIKE
AU011,PURE TONE AUDIOMETRY
AU0115,PROTHROMBIN TIME (PT) SO~HMRE
AU012,PURE TONE AUDIOMETRY &SPEECH (ANY 2 TESTS)
AU013,"AUDIOMETRY FULL DIAGNOSIS (PURE TONE AUDIOMETRY, SPEECH AUDIOMETRY, & TYMPANOMETRY)"
AU019,SPEECH AUDIOMETRY
AU022,TONOMETRY
AU023,TYMPANOMETRY
AU024,AUDIOMETRY
AU028,EUSTACHIAN TUBE FUNCTION TEST
AU029,FLEXIBLE LARYNGOSCOPY
AU052,NASAL DECONGESTION
AU068,PERIMETRY-ONE EYE
AU079,ACOUSTIC RHINOMETRY
AU085,REMOVAL OF IMPACTED CERUMEN
AU087,HEARING TEST
AU104,PURE TONE AUDIOMETRY AND SPEECH AUDIOMETRY
AU1040,AUDIOMETRY WITH TYMPANOMETRY
AU105,PURE TONE AUDIOMETRY W/ SPEECH TEST
AU109,SPEECH AUDIOMETRY WITH TINNITUS MATCHING
AU1102,PURE TONE AUDIOMETRY; TYMPANOMETRY; SPEECH AUDIOMETRY
AU116,AURAL TOILETTE EAR CLEANING
AU119,PTA TYMPHANOMETRY/ SPEECH RECEPTION THRESHOLD
AU174,PTA/SRT/TYMPA
AU180,EAR CLEANING/SUCTIONING
AU203,FULL AUDIOMETRY (ADULT)
AU251,SELECTIVE LASER TRABECULOPLASTY (SLT)
AU254,VISUAL FIELDS PER EYE
AU270,FNAB (ENT)
AU309,VIDEO HEAD IMPULSE TEST - VHIT
AU322,VIDEONYSTAGMOGRAPHY (VNG)
AU348,IPSILATERAL ACOUSTIC REFLEX THRESHOLD TEST
AU349,CONTRALATERAL ACOUSTIC REFLEX THRESHOLD TEST
AU370,TINNITUS EVALUATION
AU412,ER 1 FEE ( URGENT ) WITH EIM
AU413,ER 2 FEE ( URGENT ) WITH EIM
AU419,EGD (EMSC)
AU420,COLONOSCOPY
AU475,STROBOSCOPY PACKAGE (PF EXCLUDED)
AU505,VIDEONYSTAGMOGRAPHY (VNG) AND VIDEO HEARD IMPULSE TEST (VHIT)
AU507,"PURE TONE AUDIOMETRY, BONE CONDUCTION (BC) MASKING - RIGHT EAR"
AU509,"PURE TONE AUDIOMETRY, BONE CONDUCTION (BC) MASKING"
AU518,"PURETONE AUDIOMETRY, SPEECH TEST, TYMPHANOMETRY"
B- RAD0017200,XRAY SKULL AP LATERAL
B-BC0012303,BREAST ULTRASOUND W/ DOPPLER
B-BUALAB001,BUA BLOOD URIC ACID
B-CT00021,CT SCAN-CHEST IV CONTRAST
B-CT0010124,CT SCAN-CRANIAL PLAIN
B-CT0010190,CT SCAN CRANIAL WITH CONTRAST
B-CT00101928,CT SCAN-HEAD TRAUMA PLAIN
B-CT0010325,CT SCAN RIGHT SHOULDER PLAIN
B-CT00108220,CT SCAN WHOLE ABDOMEN WITH TRIPLE CONTRAST
B-CT0011018,CT SCAN-CRANIAL WITH IV CONTRAST
B-CT00111,CT SCAN WHOLE ABDOMEN PLAIN
B-CT001122018,ARTERIAL VENOUS DUPLEX SCAN OF LOWER EXTREMITIES
B-CT0011234,CT SCAN-CHEST PLAIN
B-CT0011316,CT SCAN - STONOGRAM PLAIN
B-CT0011350,CT SCAN-WHOLE ABDOMEN (PLAIN)
B-CT00113601,CT SCAN WHOLE ABDOMEN PLAIN
B-CT0011424,CT/HRCT CHEST WITH CONTRAST
B-CT0011428,CT SCAN-CHEST WITH CONTRAST
B-CT0011975,CT SCAN-WHOLE ABDOMEN WITH TRIPLE CONTRAST
B-CT0012124,CT SCAN PNS PLAIN
B-CT0012345,CT SCAN-HEAD
B-CT0012374,HIGH RESOLUTION OF CT SCAN CHEST WITH CONTRAST
B-CT0012387,CT UROGRAM W/ CONTRAST
B-CT0012401,CT SCAN-PARANASAL SINUSES PLAIN
B-CT0012414,CT SCAN WHOLE ABDOMEN W/ CONTRAST
B-CT0012500,CT SCAN WHOLE ABDOMEN WITH IV CONTRAST
B-CT0012695,CT SCAN- WHOLE ABDOMEN WITH CONTRAST
B-CT00126982,CT SCAN-WHOLE ABDOMEN WITH IV AND ORAL CONTRAST
B-CT0012818,CT SCAN-HEAD (PLAIN)
B-CT0013290,CT SCAN-CHEST PLAIN HIGH RESOLUTION
B-CT0013491,CT SCAN-WHOLE ABDOMEN WITH CONTRAST
B-CT0014197,CT SCAN- WHOLE ABDOMEN W/ CONTRAST
B-CT0014200,CT SCAN-CRANIAL WITH BONE WINDOW
B-CT0014699,CT SCAN BRAIN PLAIN
B-CT00146991,CT SCAN BRAIN WITH CONTRAST
B-CT0014789,CT SCAN TRIPHASIC ADRENAL
B-CT00151199,CT SCAN-TRIPHASIC WHOLE ABDOMEN WITH CONTRAST
B-CT0015127,PARATHYROID SCAN (SESTAMIBI)
B-CT0015699,CT-CORONARY ANGIOGRAM WITH CONTRAST
B-CT0015969,ARTERIAL VENOUS DUPLEX SCAN BOTH LOWER EXTREMITIES
B-CT0016193,CT SCAN-WHOLE ABDOMEN WITH IV CONTRAST
B-CT0016253,CT SCAN- UROGRAM
B-CT0016320,CT SCAN- WHOLE ABDOMEN W/ TRIPLE CONTRAST
B-CT0016468,VENOUS DUPLEX SCAN LOWER EXTREMITY
B-CT0016647,CT SCAN- CHEST PLAIN
B-CT0017474,CT SCAN-CRANIAL PLAIN
B-CT0018559,CT SCAN- HEAD PLAIN WITH BONE WINDOW
B-CT0018629,CT SCAN-STONOGRAM ABDOMEN
B-CT001888,CT SCAN ANGIO WHOLE AORTA WITH CONTRAST
B-CT001895,CT- ANGIOGRAM OF THE HEAD
B-CT0019097,CT SCAN HEAD WITH CONTRAST
B-CT0019583,CT SCAN - WHOLE ABDOMEN STAT
B-CT0019743,CT SCAN WHOLE ABDOMEN WITH CONTRAST
B-CT0019749,CT SCAN- HIGH RESOLUTION OF CHEST (HRCT)
B-CT00198720,CAROTID DUPLEX SCAN
B-CT0019974,CT SCAN- CRANIAL W/ CONTRAST
B-CT002,CT STONOGRAM
B-CT004,CT SCAN WHOLE ABDOMEN WITH ORAL AND IV CONTRAST
B-CT00445,CT SCAN WHOLE ABDOMEN WITH TRIPLE CONTRAST
B-CT011410,CT SCAN OF LEFT ELBOW
B-CTS002,CT SCAN-CRANIAL
B-END0017468,GASTROSCOPY
B-END0018456,GASTROSCOPY AND COLONOSCOPY PACKAGE
B-EY0012000,OCT ( OPTICAL COHERENCE TOMOGRAPHY )-MACULA (BOTH EYES)
B-LAB-0001,FASTING BLOOD SUGAR (FBS)
B-LAB-STAT00012,ULTRASOUND-INGUINAL SCROTAL WITH DOPPLER - STAT
B-LAB-STAT007,APTT (ACTIVATED PARTIAL THROMBOPLASTIN TIME)
B-LAB-STAT009,PAPSMEAR
B-LAB-STAT123,STOOL ROUTINE STAT
B-LAB00001,PROTIME
B-LAB0000213,X-RAY PELVIS APL
B-LAB0000215,X-RAY KNEE (UNILATERAL)
B-LAB00012,CALCIUM
B-LAB000122,ARTERIAL DUPLEX SCAN OF LOWER EXTREMITIES
B-LAB00036,DENGUE DUO
B-LAB0007017,SERUM VITAMIN D3 LEVEL
B-LAB0008521,XRAY-THORACOLUMBOSACRAL APL
B-LAB0010001,XRAY ABDOMINAL UPRIGHT SUPINE
B-LAB0010004,INDIRECT BILIRUBIN
B-LAB0010032,BICARBONATE
B-LAB001009,STRESS ECHOCARDIOGRAM
B-LAB0010099,STRESS TEST/ECHOCARDIOGRAM
B-LAB00101,XRAY ABDOMINAL UPRIGHT AND SUPINE
B-LAB0010101.1,SPIROMETRY PRE AND POST
B-LAB0010121,CK TOTAL [CREATININE KINASE]
B-LAB0010123,SPUTUM GENEXPERT MTB/RIF
B-LAB00102401,PROTHROMBIN TIME WITH INR
B-LAB0010322,H-PYLORI
B-LAB0010579,TPAG
B-LAB0010601,TB GENEXPERT
B-LAB001068,KUB ULTRASOUND PRE AND POST VOID
B-LAB0010696,H-PYLORI TEST
B-LAB0010709,MTB GENEXPERT SPUTUM
B-LAB0011,PURIFIED PROTEIN DERIVATIVE
B-LAB0011024,URINE ALBUMIN CREATININE RATIO
B-LAB0011059,URINE CULTURE SENSITIVITY
B-LAB00111417,LDL (LOW-DENSITY LIPOPROTEIN)
B-LAB0011156,FACTOR V LEIDEN
B-LAB0011213,HSCRP (HIGH-SENSITIVITY C-REACTIVE PROTEIN
B-LAB001122,CREATININE KINASE MM (CK-MM)
B-LAB0011238,"2D ECHO W/ DOPPLER"
B-LAB0011247,FT4
B-LAB0011271,ASO TITTER
B-LAB0011301,DOBUTAMINE STRESS ECHO
B-LAB0011324,GRAM STAIN-VAGINAL DISCHARGE
B-LAB0011400,"LIVER FUNCTION TEST  (SGPT, SGOT, ALKALINE PHOSPHATASE, TOTAL BILIRUBIN, B1 B2, & TPAG)"
B-LAB0011406,"24 HOUR HOLTER MONITORING"
B-LAB0011427,HIGH SENSITIVITY C-REACTIVE PROTEIN
B-LAB0011428,THORACOLUMBAR X-RAY APL
B-LAB001144,URINE FLOW CYTOMETRY
B-LAB0011526,THYROID TRANSCRIPTION FACTOR 1
B-LAB0011548,HBSAG
B-LAB0011549,IONIZED MAGNESIUM
B-LAB00115631,"12 HOURS CARDIAC MONITORING"
B-LAB0011579,ROUTINE URINALYSIS
B-LAB001174,URINE ALBUMIN CREA-RATIO
B-LAB0011844,KUB ULTRASOUND W/ POST VOID RESIDUAL
B-LAB0011900,D-DIMER TEST
B-LAB0011945,CREATININE STAT
B-LAB0011976,FT4 RIA
B-LAB0012000,DIRECT AND INDIRECT BILIRUBIN
B-LAB0012012,SERUM (K) POTASSIUM
B-LAB0012034,THYROID RECEPTOR ANTIBODY (TRAB)
B-LAB0012108,TREADMILL STRESS TEST(BRUCE PROTOCOL)
B-LAB00121125,EMG NCV
B-LAB00122,DENGUE TEST:IGG IGM
B-LAB001220,SERUM ELECTROLYTE
B-LAB001222,TRADMILL STRESS ECHOCARDIOGRAM
B-LAB0012299,(POST BUN) POST BLOOD UREA NITROGEN
B-LAB0012327,BONE SCAN
B-LAB0012367,TSH IRMA
B-LAB0012380,"24 HOUR AMBULATORY BP MONITORING"
B-LAB0012414,"24 HR  AMBULATORY BP MONITORING"
B-LAB0012429,"24 HOURS AMBULATORY BP MONITORING"
B-LAB0012443,TOTAL BILIRUBIN
B-LAB0012457,SPUTUM KOH
B-LAB0012500,HBT ULTRASOUND
B-LAB001256,SERUM KETONE BLOOD (QUALITATIVE)
B-LAB001258,MUSCULOSKELETAL UTZ
B-LAB0012589,"PLASMA RENIN ACTIVITY,"
B-LAB0012700,HEPATOBILIARYTREE (HBT)
B-LAB0012801,POST PRANDIAL BLOOD SUGAR
B-LAB001281,KUB PROSTATE ULTRASOUND
B-LAB0012849,HBSAG WITH TITER
B-LAB0012874,UROFLOWMETRY
B-LAB00128969,"24 HR AMBULATORY MONITORING"
B-LAB001289710,"24 HR AMBULATORY BP MONITORING"
B-LAB0012940,HBCAB IGM
B-LAB0013147,GENE EXPERT
B-LAB00132,SPUTUM CULTURE AND SENSITIVITY
B-LAB001333,TREADMILL STRESS ECHOCARDIOGRAM
B-LAB0013333,(CRP)C-REACTIVE PROTEIN WITH DILUTION
B-LAB0013403,EEG (ELECTROENCEPHALOGRAM)
B-LAB0013467,IMMUNOHISTOCHEMISTRY
B-LAB0013498,HUMAN IMMUNODEFICIENCY VIRUS (HIV) 1&2
B-LAB0013500,HOLTER MONITORING 24 HOUR
B-LAB0013561,HUMAN EPIDIDYMIS PROTEIN 4 (HE4)
B-LAB0013569,CULTURE AND SENSITIVITY - SPUTUM
B-LAB0013646,PROTIME WITH INR
B-LAB0013648,CK20 (CYTOKERATIN 20)
B-LAB00136497,CPKMB
B-LAB0013663,SPOT URINE ALBUMIN CREA RATIO
B-LAB001369,FINE NEEDLE ASPIRTION BIOPSY (FNAB)
B-LAB001375,"TOTAL BILIRUBIN, B1, B2"
B-LAB0013917,SPUTUM AFB X3
B-LAB0013969,EMG NCV UPPER EXTREMITIES RIGHT
B-LAB0013990,"2D ECHO WITH CFDS"
B-LAB0014136,HBSAG (HEPA B) SCREENING
B-LAB0014142,ANTI TG/ ANTI THYROGLOBULIN
B-LAB0014179,(BUN) BLOOD UREA NITROGEN
B-LAB0014348,CULTURE AND SENSITIVITY:  WOUND DISCHARGE
B-LAB0014400,ALKALINE PHOSPHATASE
B-LAB0014431,(TSH) THYROID STIMULATING HORMONES
B-LAB0014445,AMBULATORY BP MONITORING
B-LAB00145,MRI CERVICAL SPINE WITH CONTRAST
B-LAB0014527,SPUTUM AFB *2
B-LAB00145301,SERUM TPAG
B-LAB0014545,THYROGLOBULIN
B-LAB0014556,"2D ECHO PLAIN"
B-LAB0014574,COMPLEMENT 3
B-LAB0014586,ELECTROENCEPHALOGRAM (EEG)
B-LAB0014679,(BUA) BLOOD URIC ACID
B-LAB0014712,HISTOPATH SMALL
B-LAB0014719,HISTOPATH SMALL BIOPSY
B-LAB0014747,VITAMIN D
B-LAB0014856,INTACT PTH
B-LAB0015046,SODIUM AND POTASSIUM
B-LAB0015207,RANDOM URINE CREATININE
B-LAB0015214,HOLTER MONITORING
B-LAB0015266,"2D ECHO WITH COLOR FLOW DOPPLER"
B-LAB0015269,OCT MACULA
B-LAB0015286,CPK-MB ISOENZYME
B-LAB001533,XRAY-KNEE BILATERAL SUNRISE VIEW
B-LAB0015418,PULSE OXIMETER
B-LAB0015454,FREE PSA
B-LAB0015487,RANDOM POTASSIUM
B-LAB0015488,SERUM POTASSIUM
B-LAB0015555,SPUTUM TB GENE EXPERT
B-LAB0015563,ACTIVATED PARTIAL THROMBOPLASTIN TIME
B-LAB0015571,SERUM URIC ACID
B-LAB0015574,RBS
B-LAB0015579,HBA1C
B-LAB0015633,C REACTIVE PROTEIN TEST
B-LAB0015685,RANDOM URINE ALBUMIN CREATINE RATIO
B-LAB0015716,RANDOM URINE PROTEIN CREATININE RATIO
B-LAB0015782,ANTI DSDNA
B-LAB00158,THYROID STIMULATING HORMONE (TSH)
B-LAB0015869,SERUM CANCER ANTIGEN (CA 125)
B-LAB0015879,"12 LEAD ECG"
B-LAB0015968,"2D ECHO"
B-LAB0016044,EMG NCV - BOTH UPPER  EXTREMITIES
B-LAB0016090,ELECTROENCEPHALOGRAPHY (EEG
B-LAB001621,FT3 (FREE TRIIODOTHYRONINE)
B-LAB001627,PROTIME
B-LAB0016325,AFB SPUTUM SMEAR
B-LAB0016349,TOTAL PSA
B-LAB00163498,TOTAL PSA (PROSTATE-SPECIFIC ANTIGEN) LEVEL
B-LAB0016489,SERUM IONIZED CALCIUM
B-LAB0016571,"2 HR POST BLOOD GLUCOSE VENOUS"
B-LAB0016574,MICRO ALBUMIN CREATININE RATIO
B-LAB0016582,SODIUM (NA)
B-LAB0016654,RANDOM URINE PROTEIN  TO CREA RATIO
B-LAB0016666,MYCOBACTERIUM TUBERCULOSIS (MTB SENSITIVITY) SLMC SEND OUT
B-LAB0016697,PROSTATE SPECIFIC ANTIGEN (PSA)
B-LAB0016700,MAGNESIUM
B-LAB0016842,IONIZED CALCIUM
B-LAB0016896,PLASMA ALDOSTERONE
B-LAB001698,IRON
B-LAB0017,CHEMISTRY 15
B-LAB0017200,URINE MICROALBUMIN
B-LAB0017456,LIPASE
B-LAB001748,FECAL OCCULT BLOOD TEST
B-LAB0017748,(ASO) ANTISTREPTOLYSIN O TITER
B-LAB0017777,PLATELET COUNT
B-LAB0017784,ARTERIAL AND VENOUS DUPLEX SCAN BOTH LOWER EXTREMETIES
B-LAB0017847,THYROID PEROXIDASE ANTIBODY (TPOAB)
B-LAB0017945,"17-OH PROGESTERONE"
B-LAB0017965,SERUM ERYTHROPOIETIN
B-LAB0017979,TB GENE EXPERT
B-LAB0017980,"75 GRAM OGTT"
B-LAB0018042,TB QUANTIFERON
B-LAB0018067,PROCALCITONIN
B-LAB0018088,FT4 (ECLIA)
B-LAB0018282,BICARBONATE (HC03)
B-LAB001834,XRAY CHEST PA LAT
B-LAB0018479,HIV TEST
B-LAB0018496,BILIRUBIN TEST ( TOTAL BILIRUBIN AND DIRECT BILIRUBIN)
B-LAB0018529,TRIIODOTHYRONINE (T3)
B-LAB0018558,INSULIN ANTI BODY PRE AND TOTAL
B-LAB0018561,CA125
B-LAB0018632,TROPONIN I QUANTITATIVE
B-LAB0018824,TB QUANTIFERON
B-LAB0018897,TOTAL CALCIUM
B-LAB0018971,SPUTUM AFB SMEAR
B-LAB0019,DENGUE NS1
B-LAB00191641,XRAY-PARANASAL SINUSES SERIES
B-LAB0019173,ANTI-MULLERIAN HORMONE (AMH)
B-LAB0019296,LIPID PROFILE
B-LAB0019339,URINE ALBUMIN AND CREATENINE RATIO
B-LAB0019345,URINE ALBUMIN CREATININE RATIO
B-LAB0019348,E.HISTOLYTICA TEST
B-LAB0019350,DENGUE IGG IGM
B-LAB0019364,FASTING BLOOD SUGAR (FBS)
B-LAB0019367,"CHEM 12 (FBS,BUN, CREA, LP, BUA, SGPT, SGOT, NA, K)"
B-LAB0019369,DIAGNOSTIC POLYSOMNOGRAPHY
B-LAB0019437,ANTI-HBS TITER
B-LAB0019452,CREATININE
B-LAB00196308,XRAY FOOT APOL RIGHT
B-LAB0019642,URINE ALBUMIN/CREATININE RATIO
B-LAB0019686,"75 GRAMS OGTT"
B-LAB0019688,C-PEPTIDE
B-LAB0019695,"24 HOURS URINE TOTAL PROTEIN"
B-LAB0019696,EMG-NCV- BOTH LOWER EXTREMITIES
B-LAB0019764,URINE ALBUMIN CREA RATIO
B-LAB0019847,CREATININE (CREA)
B-LAB0019876,SPUTUM GENEXPERT
B-LAB0019878,SPUTUM GENEXPERT TEST
B-LAB001988,(T4) THYROXINE
B-LAB0019888,DIRECT BILIRUBIN
B-LAB0019933,VITAMIN D LEVEL
B-LAB0019974,"48 HOUR HOLTER MONITORING"
B-LAB0019978,"15 LEAD ECG"
B-LAB0019979,"2D ECHO W/ DOPPLER FLOW STUDIES"
B-LAB001999,(T3) TRIIODOTHYRONINE
B-LAB0021,ALBUMIN
B-LAB0022,ALKALINE POSPHATASE
B-LAB0023,BILIRUBIN
B-LAB0024,"25-HYDROXY VITAMIN D"
B-LAB0026,TROPONIN I
B-LAB00268,AMYLASE
B-LAB0029,ALKALINE POSPHATASE
B-LAB0032,TRANSRECTAL ULTRASOUND
B-LAB003215,LEFT HAND XRAY APL
B-LAB00331,CAPILLARY BLOOD GLUCOSE (CBG)
B-LAB004,URINE MICRAL TEST
B-LAB0045,TYPHIDOT
B-LAB00626,B-TYPE NATRIURETIC PEPTIDE (BNP)
B-LAB00629,PAP SMEAR
B-LAB009,TIBC(TOTAL IRON BINDING CAPACITY
B-LAB01323,CBG RANDOM
B-LAB014,(CBG) CAPILLARY BLOOD GLUCOSE
B-LAB015,URIC ACID
B-LAB015,
B-LAB017,ARTERIAL AND VENOUS DUPLEX SCAN OF LOWER EXTREMITIES
B-LAB018,HBA1C (GLYCOSYLATED HEMOGLOBIN)
B-LAB021,FECALYSIS
B-LAB022,URINALYSIS
B-LAB025,"2 HRS PPBS"
B-LAB028,"24 HOUR HOLTER MONITORING"
B-LAB030,CAROTID DOPPLER SCAN
B-LAB031,PULMONARY FUNCTION TEST
B-LAB032,CT SCAN UPPER ABDOMEN W/ CONTRAST
B-LAB034,GAMMA-GLUTAMYL TRANSPEPTIDASE
