"cptcode","cptdesc"
A-LAB0116,EMG NCV 2 EXTREMITIES BOTH
A-LAB0121742,SPUTUM GRAM STAIN CULTURE AND SENSITIVITY-STAT
A-LAB0138,URINALYSIS-STAT
A-LAB0139,SPUTUM GRAM STAIN CULTURE AND SENSITIVITY
A-LAB0142,HGT MONITORING
A-LAB0147,SERUM LIPASE
A-LAB015,FECALYSIS WITH EIA
A-LAB0161,RANDOM URINE TOTAL PROTEIN AND CREATININE
A-LAB0166,CALCIUM (SERUM)
A-LAB0174,ANTI JO-1 ANTIBODY
A-LAB0186,HCV RNA VIRAL LOAD
A-LAB0189,FROZEN SECTION BIOPSY (SPECIMEN)
A-LAB0193,RANDOM URINE TOTAL PROTEIN/CREA RATIO
A-LAB020,GIEMSA STAIN
A-LAB0202,STRESS TEST (MODIFIED BRUCE)
A-LAB0204,PLASMA RENIN ACTIVITY
A-LAB0209,THYROID FUNCTION TEST
A-LAB0211,LH EIA
A-LAB02123,PRA SINGLE ANTIGEN CLASS 1 AND 2 AND MICA
A-LAB0216,KI67 (PROTEIN)
A-LAB021601,H PYLORI STOOL ANTIGEN (SEND OUT)
A-LAB022,VENOUS BICARBONATE
A-LAB0220,CKMM CKMB CK TOTAL
A-LAB025,ANTINUCLEAR ANTIBODIES (ANA) ELIA
A-LAB0256,"LIVER FUNCTION TEST (SGPT, SGOT, ALKALINE PHOSPHATASE, TOTAL BILIRUBIN, DIRECT BILIRUBIN, INDIRECT BILIRUBIN, & TPAG)"
A-LAB0263,PRA SINGLE ANTIGEN CLASS I
A-LAB0264,DEEP VEIN THROMBOSIS (DVT) SCAN LOWER EXTRIMITIES
A-LAB0266,VHIT(VIDEO HEAD IMPLULSE TEST)
A-LAB0270,PLASMA KETONES
A-LAB0286,HE-4
A-LAB02893,SPOT URINE MICROALBUMIN TO CREA RATIO
A-LAB029,C3-BETA COMPLEMENT
A-LAB02905,TREADMILL STRESS TEST – BRUCE
A-LAB02906,HEPATITIS B DNA VIRAL LOAD
A-LAB02909,SERUM PROCALCITONIN
A-LAB038,CHEST UTZ (FLUID MAPPING)
A-LAB039,SERUM AFP (ALPHA-FETOPROTEIN)
A-LAB040,SPUTUM GENEXPERT
A-LAB041,GFR (GLOMERULAR FILTRATION RATE WITH DIURETICS)
A-LAB051,(FOBT) FECAL OCCULT BLOOD TEST
A-LAB058,H-PYLORI ANTIGEN TEST  IGG AND IGM
A-LAB075,RENAL QA PANEL
A-LAB0781,LIPID PANEL
A-LAB079,SODIUM CHLORIDE
A-LAB080,PLASMA ALDOSTERONE
A-LAB084,TROPONIN T HIGH SENSITIVITY
A-LAB092,(PRE BUN) PRE BLOOD UREA NITROGEN
A-LAB095,ELECTROMYOGRAPHY-NERVE CONDUCTION VELOCITY UPPER EXTREMITY
A-LAB099,CYSTATIN C
A-LAB115,PTPA (PROTHROMBINE TIME PERCENTAGE ACTIVITY)
A-LAB123,POST BUN (BLOOD UREA NITROGEN)
A-LAB201,DENGUE NS1 BLOT
A-LAB22023,HISTOPATH MEDIUM
A-LAB258,ULTASOUND-HYSTEROSONOGRAPHY
A-LAB9171,H PYLORI IGG IGM
A-MAM002,"3D MAMMOGRAM/TOMOSYNTHESIS"
A-MRA001,MRA-CRANIAL CONTRAST
A-MRA0010,CRANIAL MRA / MRI W/ CONTRAST
A-MRA002,MRI/MRA CRANIAL PLAIN WITH CONTRAST
A-MRA0021,CT SCAN - CRANIAL PLAIN WITH CONTRAST
A-MRA12577,CRANIAL MRI  PLAIN W/ MRA
A-MRI00025,MRI-LUMBOSACRAL SPINE
A-MRI00100,MRI WRIST PLAIN (UNILATERAL)
A-MRI001000,MRI-WRIST PLAIN
A-MRI0015,MRI CRANIAL PLAIN AND WITH CONTRAST DWI FLAIR
A-MRI0016,MRI-STROKE PROTOCOL
A-MRI001600,MRI-STROKE PROTOCOL WITH MRA
A-MRI003,MRI-LUMBAR SPINE W/ CONTRAST
A-MRI0031,MRI CRANIAL W/ CONTRAST
A-MRI0032,MRI-LUMBO SACRAL PLAIN
A-MRI004,MRI-LEFT LEG (PLAIN)
A-MRI00410,MRI OF RIGHT KNEE
A-MRI0044,MRI-PITUITARY GLAND WITH GADOLINIUM CONTRAST
A-MRI0047,MRI-PROSTATE WITH CONTRAST
A-MRI0052,MRV BRAIN
A-MRI0053,MRI-CRANIAL PLAIN WITH PWI
A-MRI0055,MRI-CRANIAL PLAIN WITH DWI
A-MRI0060,MRI CERVICAL SPINE WITH SPINE SURVEY
A-MRI0061,MRI-CRANIAL WITH MRA WITH CONTRAST
A-MRI006663,MRI PELVIC PLAIN
A-MRI0070,MRI-MULTIPARAMETRIC OF THE PROSTATE WITH IV CONTRAST
A-MRI00701,MRI-MULTIPARAMETRIC OF THE PROSTATE (PLAIN)
A-MRI0075,MRI-DIFFUSION WEIGHTED
A-MRI008000,MRI-THORACOLUMBAR PLAIN
A-MRI00820,MRI THORACOLUMBAR
A-MRI00821,MRI THORACOLUMBAR SPINE PLAIN
A-MRI0085,MRI-WHOLE ABDOMEN W/ CONTRAST W/ MRCP
A-MRI0091,MRI-LUMBAR SPINE WITH SPINE SURVEY
A-MRI0096,MRCP LIVER
A-MRI0100,MRI PELVIS- CERVIX PROTOCOL~MRCT
A-MRI0104,MRI PELVIS- PROSTATE PROTOCOL~MRCT
A-MRI0105,MRI PELVIS- PROSTATE PROTOCOL~MRCT [14X17 (7)]
A-MRI0106,MRI PELVIS- PROSTATE PROTOCOL~MRPN
A-MRI0107,MRI PELVIS- PROSTATE PROTOCOL~MRPN-FILM [14X17 (7)
A-MRI0109,MRI THORACO LUMBAR~MRCT-FILM [14X17 (8)]
A-MRI0110,MRI THORACO LUMBAR~MRPN-FILM [14X17 (4)]
A-MRI01129,MULTI PARAMETRIC MRI PROSTATE WITH CONTRAST
A-MRI0113,MRI-KNEE WITH CONTRAST UNILATERAL
A-MRI0116,MRI-MRCP (CHOLANGIOPANCREATOGRAPHY) WITH CONTRAST
A-MRI0117,MRI - RIGHT HIP ( PLAIN )
A-MRI012132018,MRI-KNEE W/ CONTRAST
A-MRI015011,MRI-CRANIAL AND MRA WITH CONTRAST
A-MRI0151,DW MRI WITH CONTRAST WITH MRA
A-MRI01715,MRI -MULTIPARAMETRIC OF PROSTATE WITH CONTRAST
A-MRI099800,MRI THORACIC SPINE WITH CONTRAST
A-MYO001,"2 HOUR AMBULATORY BLOOD PRESSURE"
A-MYO0031,TRANSESOPHAGEAL ECHOCARDIOGRAM WITH 3D
A-MYO005,EMG (ELECTROMYOGRAM)
A-MYO00502,PLAIN STRESS ECHO
A-MYO006,STRESS ECHO
A-MYO011,ECG WITH 30 SEC
A-MYO016,STRESS EXERCISE SESTAMIBI MYOCARDIAL PERFUSION IMAGING
A-MYO0161,SESTAMIBI MYOCARDIAL PERFUSION IMAGING
A-MYO017,EXERCISE STRESS ECHO (MODIFIED BRUCE)
A-MYO018,CARDIAC PACKAGE + 2D ECHO
A-MYO028,EMG NCV OF ALL EXTREMITIES
A-NUC001,WHOLE BODY SCAN
A-NUC0015,WHOLE BODY SCAN - IODINE
A-NUC007,RAI 50 MCI
A-NUC009,DIPYRIDAMOLE MPI REST AND STRESS
A-NUC014,TOTAL BODY BONE SCAN WITH SPECT-CT
A-NUC018,DIPYRIDAMOLE MPI (SESTAMIBI)
A-PT003,SLEEP STUDY THERAPEUTIC
A-PUL007,SPIROMETRY WITH POST BRONCHODILATOR EXAM
A-PUL008,COMPLETE PULMONARY FUNCTION TEST WITH PRE AND POST BROCHODILATOR
A-PUL011,PEAK FLOW METER
A-PUL012,PULMONARY FUNCTION TESTS COMPLETE WITH POST BRONCHODILATOR STUDY
A-RAD0015,XRAY-ABDOMEN SPINE UPRIGHT
A-RAD0042,XRAY-LUMBOSACRAL SERIES
A-RAD005,XRAY-BONE MINERAL DENSITY DXA(HIP&SPINE)
A-RAD0067,THERAPEUTIC POLYSOMNOGRAPHY
A-RAD007,BONE MINERAL DENSITY HIP AND SPINE
A-RAD0075,X-RAY-LUMBOSACRAL PAL
A-RAD0078,BONE MINERAL DENSITOMETRY
A-RAD0086,PARATHYROID SCAN
A-RAD0095,X RAY SHOULDER AP/Y
A-RAD0104,XRAY-WHOLE SPINE SCOLIOSIS SERIES
A-RAD0112,XRAY-CHEST APC SITTING PORTABLE
A-RAD0122,XRAY-EMG-NCV LUMBOSACRAL SPINE APL
A-RAD0127,XRAY-STANDING LUMBOSACRAL SPINE APL WITH  FULL LATERAL FLEXION AND EXTENSION VIEW
A-RAD01278,XRAY:- LUMBOSACRAL SPINE AP/L WITH LATERAL FLEXION AND EXTENSION VIEW
A-RAD0129,XRAY-ABDOMINAL
A-RAD0134,XRAY-ABDOMEN SUPINE AND UPRIGHT (PEDIA)
A-RAD0135,XRAY- CHEST PA APICO LORDOTIC VIEW
A-RAD0146,XRAY BOTH HIP CROSSTABLE LAT
A-RAD0153,TREADMILL STRESS TEST (BRUCE PROTOCOL)
A-RAD0201,CONGENITAL ANOMALY SCAN
A-RAD0210,XRAY-CERVICAL APOL
A-RAD0216,XRAY-PELVIS AP WITH FROG LEG VIEW
A-RAD0241,RADIONUCLIDE BONE SCAN
A-RAD0243,CHEST XRAY LEFT  POSTERIOR OBLIQUE VIEW
A-RAD0254,XRAY CHEST PAL UPRIGHT
A-RAD02630,X RAY TOWNES/WATERS/CALDWELL VIEW
A-RAD02690,XRAY-CHEST PA UPRIGHT
A-RAD11231,STRESS ECHO BRUCE
A-RAD1123748,MEMORY AND STRESS SCREENING TEST
A-RAD13550123,XRAY LEFT SHOULDER APY
A-RAD135519,XRAY-LEFT SHOULDER AP LATERAL
A-RAD547800,XRAY THORACO LUMBOSACRAL  SPINE AP
A-RAD842749,XRAY-RIGHT AND LEFT KNEE AP STANDING
A-SP002,ORAL ENTEROSCOPY
A-SP003,SLEEP STUDY
A-SP004,SCLEROTHERAPY
A-SP007,DIAGNOSTIC SLEEP STUDY 4
A-SP008,SLEEP STUDIES (SPLIT NIGHT) ALICE 5
A-SP010,PARKINSONS DISEASE PROFILE
A-SP01038,SLEEP STUDY DIAGNOSTIC
A-SP010511,SLEEP DIAGNOSTIC TEST
A-SP0111546,SLEEP STUDIES (SPLIT TEST)
A-SP013,SLEEP STUDY W/ THERAPEUTIC
A-UZ002,ULTRASOUND - VENOUS DUPLEX SCAN BOTH LOWER EXTREMITIES
A-UZ008,ULTRASOUND-TRANSABDOMINAL BIOPHYSICAL SCORING
A-UZ013,NECK ULTRASOUND WITH COLOR FLOW DOPPLER
A-UZ014,ULTRASOUND-PERIPHERAL DUPLEX SCAN LOWER ARTERIAL AND VENOUS DUPLEX EXTREMETIES
A-UZ026,ULTRASOUND-PAROTID
A-UZ027,ULTRASOUND-WHOLE ABDOMINAL RIGHT LOWER QUADRANT
A-UZ030,ULTRASOUND-WHOLE ABDOMINAL
A-UZ039,"ULTRASOUND-(KUB) KIDNEYS, URETERS, BLADDER"
A-UZ041,KUB ULTRASOUND W/ POST VOID VOLUME
A-UZ042,ULTRASOUND-TRANSVAGINAL COLOR DOPPLER STUDY IOTA
A-UZ044,ULTRASOUND-FNAB GUIDED BIOPSY OF THYROID
A-UZ054,ULTRASOUND-UPPER ABDOMEN
A-UZ083,ULTRASOUND-URINARY BLADDER SCAN (PRE AND POST VOID RESIDUAL URINE VOLUME DETERMINATION)
A-UZ087,CT-SCAN WHOLE ABDOMEN WITH IV CONTRAST - STAT
A-UZ089,ULTRASOUND-TRANSVAGINAL WITH DOPPLER
A-UZ098,ULTRASOUND RENAL VASCULAR DUPLEX SCAN
A-UZ1012,ULTRASOUND-URINARY BLADDER W/ POST VOID RESIDUAL URINE DETERMINATION
A-UZ1014,CHEST UTZ W/ QUANTIFY FLUID
A-UZ1016,ULTRASOUND-LGBT(LIVER GALLBLADDER BILLIARY TREE
A-UZ104,ULTRASOUND LIVER FIBROSIS SCORING
A-UZ107,ULTRASOUND-WHOLE ABDOMEN (INCLUDING APPENDIX AND PELVIS)
A-UZ112,BIOPHYSICAL SCORING ULTRASOUND
A-UZ116,"ULTRASOUND-LIVER, GALLBLADDER, HEPATO BILIARY TREE AND PANCREAS"
A-UZ127,ULTRASOUND-CERVICAL NECK
A-UZ1289,ULTRASOUND-WHOLE ABDOMEN (STAT)
A-UZ137,"3D ULTRASOUND"
A-UZ1401,ULTRASOUND-MASS
A-UZ15411,"ULTRASOUND LIVER, GALLBLADDER PANCREAS"
A-UZ165,VENOUS DUPLEX SCAN WITH ABI
AU0001,PURE TONE AUDIOMETRY WITH BONE AND TYMPANOMETRY
AU004,DIX HALLPIKE
AU0041,DIX HALLPIKE MANEUVER
AU006,EPLEY'S MANUEVER
AU008,NASAL ENDOSCOPY
AU009,OTOACOUSTIC EMISSION
AU010,PLAY AUDIOMETRY
AU011,PURE TONE AUDIOMETRY
AU0115,PROTHROMBIN TIME (PT) SO~HMRE
AU012,PURE TONE AUDIOMETRY &SPEECH (ANY 2 TESTS)
AU013,"AUDIOMETRY FULL DIAGNOSIS (PURE TONE AUDIOMETRY, SPEECH AUDIOMETRY, & TYMPANOMETRY)"
AU017,REMOVAL OF SUTURE
AU019,SPEECH AUDIOMETRY
AU022,TONOMETRY
AU023,TYMPANOMETRY
AU024,AUDIOMETRY
AU028,EUSTACHIAN TUBE FUNCTION TEST
AU029,FLEXIBLE LARYNGOSCOPY
AU034,VIDEO LARYNGOSCOPY
AU035,VIDEO OTOSCOPY
AU052,NASAL DECONGESTION
AU068,PERIMETRY-ONE EYE
AU079,ACOUSTIC RHINOMETRY
AU085,REMOVAL OF IMPACTED CERUMEN
AU086,AUDITORY BRAINSTEM RESPONSE TEST
AU087,HEARING TEST
AU091,AUDITORY BRAINSTEM (ABR) WITH AUDITORY STEADY-STATE RESPONSE (ASSR)
AU092,PURE TONE AUDIOMETRY/SPEECH AUDIOMETRY WITH TYMPANOMETRY & ACOUSTIC REFLEX
AU094,AIDED TEST
AU102,HEARING TEST PLUS TYMPANOMETRY
AU103,TINITUS EVALUATION
AU104,PURE TONE AUDIOMETRY AND SPEECH AUDIOMETRY
AU1040,AUDIOMETRY WITH TYMPANOMETRY
AU105,PURE TONE AUDIOMETRY W/ SPEECH TEST
AU109,SPEECH AUDIOMETRY WITH TINNITUS MATCHING
AU1102,PURE TONE AUDIOMETRY; TYMPANOMETRY; SPEECH AUDIOMETRY
AU111,DIX–HALLPIKE  MANUEVER
AU116,AURAL TOILETTE EAR CLEANING
AU119,PTA TYMPHANOMETRY/ SPEECH RECEPTION THRESHOLD
AU120,AURAL IRRIGATION/CLEANING
AU174,PTA/SRT/TYMPA
AU175,PTA-SRT
AU178,DIX HALLPIKE TEST W/ EPLEYS REPOSITIONING
AU180,EAR CLEANING/SUCTIONING
AU203,FULL AUDIOMETRY (ADULT)
AU243,DILATED FUNDUS EXAM
AU251,SELECTIVE LASER TRABECULOPLASTY (SLT)
AU253,TRANSCLERAL CYCLOPHOTOCOAGULATION (TSCPC)
AU254,VISUAL FIELDS PER EYE
AU269,EPLEY MANEUVER
AU270,FNAB (ENT)
AU281,EAR CLEANING BILATERAL
AU301,TINNITUS MATCHING.
AU308,PURETONE AUDIOMETRY /SPEECH AUDIOMETRY (PTA/SA)
AU309,VIDEO HEAD IMPULSE TEST - VHIT
AU310,PURETONE AUDIOMETRY (PTA)
AU316,ETFT (EUSTACHIAN TUBE FUNCTION TEST)
AU322,VIDEONYSTAGMOGRAPHY (VNG)
AU326,VHIT ( VIDEO HEAD IMPULSE TEST )
AU336,PURETONE BASIC SCREENING
AU348,IPSILATERAL ACOUSTIC REFLEX THRESHOLD TEST
AU349,CONTRALATERAL ACOUSTIC REFLEX THRESHOLD TEST
AU351,PURE TONE AUDIOMETRY WITH AIR AND BONE
AU370,TINNITUS EVALUATION
AU407,ER (CONSULTATION) WITH EIM
AU408,ER FEE (LIFE THREATENING) WITH EIM
AU409,ER FEE (URGENT) WITH EIM
AU412,ER 1 FEE ( URGENT ) WITH EIM
AU413,ER 2 FEE ( URGENT ) WITH EIM
AU414,ELECTROMYOGRAPHY UPPER & LOWER EXTRIMITIES ( IN PA
AU419,EGD (EMSC)
AU420,COLONOSCOPY
AU475,STROBOSCOPY PACKAGE (PF EXCLUDED)
AU505,VIDEONYSTAGMOGRAPHY (VNG) AND VIDEO HEARD IMPULSE TEST (VHIT)
AU507,"PURE TONE AUDIOMETRY, BONE CONDUCTION (BC) MASKING - RIGHT EAR"
AU509,"PURE TONE AUDIOMETRY, BONE CONDUCTION (BC) MASKING"
AU517,EXTENDED HIGH FREQUENCY AUDIOMETRY
AU518,"PURETONE AUDIOMETRY, SPEECH TEST, TYMPHANOMETRY"
B- RAD0017200,XRAY SKULL AP LATERAL
B-BC0012303,BREAST ULTRASOUND W/ DOPPLER
B-BUALAB001,BUA BLOOD URIC ACID
B-CT0002,CT SCAN PLAIN CRANIAL WITH BONE WINDOW
B-CT00021,CT SCAN-CHEST IV CONTRAST
B-CT0010109,CT SCAN-HIGH RESOLUTION CHEST PLAIN
B-CT0010124,CT SCAN-CRANIAL PLAIN
B-CT0010190,CT SCAN CRANIAL WITH CONTRAST
B-CT001019019,CT SCAN-CRANIAL WITH MRA/MRI PLAIN
B-CT00101928,CT SCAN-HEAD TRAUMA PLAIN
B-CT0010325,CT SCAN RIGHT SHOULDER PLAIN
B-CT0010614,CT SCAN-WHOLE ABDOMEN WITH  CONTRAST
B-CT00108220,CT SCAN WHOLE ABDOMEN WITH TRIPLE CONTRAST
B-CT0010907,CT SCAN-PARANASAL
B-CT0011018,CT SCAN-CRANIAL WITH IV CONTRAST
B-CT0011088,CT SCAN-UPPER ABDOMEN WITH CONTRAST
B-CT0011090,CT SCAN-ABDOMINAL WITH IV CONTRAST
B-CT00111,CT SCAN WHOLE ABDOMEN PLAIN
B-CT0011116,STAT CRANIAL CT SCAN PLAIN
B-CT0011145,CT SCAN LOWER ABDOMEN PLAIN
B-CT0011186,CT SCAN OF NECK WITH CONTRAST
B-CT001122018,ARTERIAL VENOUS DUPLEX SCAN OF LOWER EXTREMITIES
B-CT0011234,CT SCAN-CHEST PLAIN
B-CT0011316,CT SCAN - STONOGRAM PLAIN
B-CT0011350,CT SCAN-WHOLE ABDOMEN (PLAIN)
B-CT00113601,CT SCAN WHOLE ABDOMEN PLAIN
B-CT0011424,CT/HRCT CHEST WITH CONTRAST
B-CT0011425748,CT SCAN-HIGH-RESOLUTION COMPUTED TOMOGRAPHY (HR/CT) CHEST PLAIN
B-CT0011428,CT SCAN-CHEST WITH CONTRAST
B-CT0011546,CT SCAN-HEAD/NECK WITH CONTRAST
B-CT0011975,CT SCAN-WHOLE ABDOMEN WITH TRIPLE CONTRAST
B-CT0012124,CT SCAN PNS PLAIN
B-CT0012149,CT SCAN-WHOLE ABDOMEN + PELVIS WITH CONTRAST
B-CT0012173,CT ANGIOGRAPHY OF ABDOMEN
B-CT0012345,CT SCAN-HEAD
B-CT0012374,HIGH RESOLUTION OF CT SCAN CHEST WITH CONTRAST
B-CT0012387,CT UROGRAM W/ CONTRAST
B-CT0012401,CT SCAN-PARANASAL SINUSES PLAIN
B-CT0012414,CT SCAN WHOLE ABDOMEN W/ CONTRAST
B-CT0012417,CT SCAN-STAT CRANIAL PLAIN
B-CT0012481,CT SCAN-LEFT KNEE PLAIN
B-CT0012500,CT SCAN WHOLE ABDOMEN WITH IV CONTRAST
B-CT0012501,CT SCAN WHOLE ABDOMEN WITH ORAL AND  IV CONTRAST
B-CT0012579,CT SCAN-CRANIAL PLAIN
B-CT0012695,CT SCAN- WHOLE ABDOMEN WITH CONTRAST
B-CT00126982,CT SCAN-WHOLE ABDOMEN WITH IV AND ORAL CONTRAST
B-CT0012818,CT SCAN-HEAD (PLAIN)
B-CT0012893,ARTERIAL VENOUS DUPLEX SCAN UPPER EXTREMITIES
B-CT001297,CT SCAN-LIVER TRIPHASIC
B-CT0013058,CT STONOGRAM
B-CT0013290,CT SCAN-CHEST PLAIN HIGH RESOLUTION
B-CT0013491,CT SCAN-WHOLE ABDOMEN WITH CONTRAST
B-CT0013678,CT- SCAN NECK W/ CONTRAST
B-CT0014197,CT SCAN- WHOLE ABDOMEN W/ CONTRAST
B-CT0014200,CT SCAN-CRANIAL WITH BONE WINDOW
B-CT0014445,CT SCAN - WHOLE ABDOMEN WITH IV AND ORAL CONTRAST
B-CT0014596,CT SCAN-WHOLE ABDOMEN
B-CT0014610,CT SCAN OF BRAIN WITH CONTRAST
B-CT00146691,CT SCAN-WHOLE ABDOMEN PLAIN
B-CT0014699,CT SCAN BRAIN PLAIN
B-CT00146991,CT SCAN BRAIN WITH CONTRAST
B-CT0014789,CT SCAN TRIPHASIC ADRENAL
B-CT00151199,CT SCAN-TRIPHASIC WHOLE ABDOMEN WITH CONTRAST
B-CT0015127,PARATHYROID SCAN (SESTAMIBI)
B-CT0015699,CT-CORONARY ANGIOGRAM WITH CONTRAST
B-CT0015969,ARTERIAL VENOUS DUPLEX SCAN BOTH LOWER EXTREMITIES
B-CT0016001,CT SCAN NECK (PLAIN)
B-CT0016040,CT SCAN OF WHOLE ABDOMEN W/ IV AND ORAL CONTRAST
B-CT0016193,CT SCAN-WHOLE ABDOMEN WITH IV CONTRAST
B-CT0016253,CT SCAN- UROGRAM
B-CT0016320,CT SCAN- WHOLE ABDOMEN W/ TRIPLE CONTRAST
B-CT0016428,CT SCAN- CHEST WITH CONTRAST
B-CT0016468,VENOUS DUPLEX SCAN LOWER EXTREMITY
B-CT0016598,CT SCAN- FACIAL BONES PLAIN
B-CT0016647,CT SCAN- CHEST PLAIN
B-CT0016686,CT SCAN- NECK
B-CT00168790,CT SCAN - WHOLE ABDOMEN IV ORAL RECTAL CONTRAST
B-CT0017474,CT SCAN-CRANIAL PLAIN
B-CT0017779,CT SCAN-UPPER ABDOMEN WITH CONTRAST
B-CT0018028,CT SCAN OF WHOLE ABDOMEN WITH TRIPLE CONTRAST
B-CT00180288,"CT SCAN-WHOLE ABDOMEN WITH TRIPLE CONTRAST (ORAL, IV AND RECTAL)"
B-CT0018040,CT SCAN OF UPPER ABDOMEN WITH IV CONTRAST
B-CT0018237,CT SCAN - FACIAL
B-CT0018559,CT SCAN- HEAD PLAIN WITH BONE WINDOW
B-CT0018605,CT SCAN-CARDIAC WITH CALCIUM SCORING
B-CT0018629,CT SCAN-STONOGRAM ABDOMEN
B-CT001888,CT SCAN ANGIO WHOLE AORTA WITH CONTRAST
B-CT001895,CT- ANGIOGRAM OF THE HEAD
B-CT0018999,CT SCAN-CRANIAL WITH IV CONTRAST
B-CT0019097,CT SCAN HEAD WITH CONTRAST
B-CT0019342,CT SCAN - CRANIAL WITH CONTRAST
B-CT0019583,CT SCAN - WHOLE ABDOMEN STAT
B-CT0019743,CT SCAN WHOLE ABDOMEN WITH CONTRAST
B-CT00197430,CT SCAN WHOLE ABDOMEN W/ IV AND ORAL CONTRAST
B-CT0019749,CT SCAN- HIGH RESOLUTION OF CHEST (HRCT)
B-CT0019768,PET SCAN WHOLE BODY PLAIN
B-CT0019800001,CT SCAN- LUMBO SACRAL SPINE (PLAIN)
B-CT0019819,CT SCAN - CRANIAL PLAIN
B-CT0019829,CT SCAN-STONOGRAM PLAIN
B-CT0019856,CT SCAN - LIVER TRIPHASIC
B-CT00198720,CAROTID DUPLEX SCAN
B-CT0019974,CT SCAN- CRANIAL W/ CONTRAST
B-CT002,CT STONOGRAM
B-CT0028451,WHOLE ABDOMEN CT SCAN WITH IV CONTRAST
B-CT003,WHOLE ABDOMEN CT SCAN (CONTRAST)
B-CT004,CT SCAN WHOLE ABDOMEN WITH ORAL AND IV CONTRAST
B-CT00445,CT SCAN WHOLE ABDOMEN WITH TRIPLE CONTRAST
B-CT005,WHOLE BODY I 131 SCAN
B-CT011410,CT SCAN OF LEFT ELBOW
B-CT030,CT SCAN-CRANIAL (STAT)
